HHID,HV000,HV001,HV002,HV003,HV004,HV005,HA35
        1 27,ET6,1,27,1,1,1707326,0
        1 67,ET6,1,67,1,1,1707326,0
        1225,ET6,1,225,1,1,1707326,0
        1264,ET6,1,264,2,1,1707326,0
        1275,ET6,1,275,1,1,1707326,
        1285,ET6,1,285,2,1,1707326,0
        1302,ET6,1,302,1,1,1707326,0
        1310,ET6,1,310,1,1,1707326,0
        1322,ET6,1,322,2,1,1707326,0
        1330,ET6,1,330,1,1,1707326,0
        1353,ET6,1,353,1,1,1707326,0
        1377,ET6,1,377,2,1,1707326,0
        1424,ET6,1,424,1,1,1707326,
        1435,ET6,1,435,1,1,1707326,
        1463,ET6,1,463,2,1,1707326,0
        1510,ET6,1,510,1,1,1707326,0
        1527,ET6,1,527,1,1,1707326,0
        1566,ET6,1,566,1,1,1707326,0
        1606,ET6,1,606,1,1,1707326,0
        1622,ET6,1,622,2,1,1707326,0
        1653,ET6,1,653,1,1,1707326,
        1666,ET6,1,666,1,1,1707326,0
        1686,ET6,1,686,2,1,1707326,99
        1701,ET6,1,701,1,1,1707326,0
        1755,ET6,1,755,1,1,1707326,
        1775,ET6,1,775,1,1,1707326,
        1782,ET6,1,782,2,1,1707326,0
        1812,ET6,1,812,1,1,1707326,
        1862,ET6,1,862,1,1,1707326,0
        1879,ET6,1,879,1,1,1707326,0
        2 26,ET6,2,26,5,2,429143,0
        2 71,ET6,2,71,1,2,429143,
        2 87,ET6,2,87,1,2,429143,
        2 96,ET6,2,96,1,2,429143,99
        2 98,ET6,2,98,3,2,429143,0
        2109,ET6,2,109,1,2,429143,0
        2110,ET6,2,110,2,2,429143,0
        2140,ET6,2,140,2,2,429143,0
        2158,ET6,2,158,1,2,429143,0
        2174,ET6,2,174,3,2,429143,0
        2230,ET6,2,230,2,2,429143,0
        2251,ET6,2,251,1,2,429143,0
        2305,ET6,2,305,2,2,429143,0
        2317,ET6,2,317,1,2,429143,
        2355,ET6,2,355,1,2,429143,99
        2412,ET6,2,412,1,2,429143,0
        2422,ET6,2,422,2,2,429143,0
        2451,ET6,2,451,1,2,429143,0
        2462,ET6,2,462,1,2,429143,
        2476,ET6,2,476,1,2,429143,0
        2512,ET6,2,512,1,2,429143,0
        2589,ET6,2,589,1,2,429143,
        2595,ET6,2,595,2,2,429143,0
        2682,ET6,2,682,1,2,429143,0
        2724,ET6,2,724,1,2,429143,
        2748,ET6,2,748,1,2,429143,0
        2857,ET6,2,857,2,2,429143,0
        2867,ET6,2,867,3,2,429143,0
        2889,ET6,2,889,2,2,429143,0
        3  9,ET6,3,9,2,3,35175,0
        3129,ET6,3,129,1,3,35175,0
        3131,ET6,3,131,1,3,35175,0
        3185,ET6,3,185,1,3,35175,
        3187,ET6,3,187,1,3,35175,
        3243,ET6,3,243,2,3,35175,0
        3262,ET6,3,262,5,3,35175,99
        3317,ET6,3,317,1,3,35175,0
        3318,ET6,3,318,2,3,35175,0
        3325,ET6,3,325,1,3,35175,0
        3346,ET6,3,346,2,3,35175,
        3366,ET6,3,366,2,3,35175,0
        3377,ET6,3,377,1,3,35175,0
        3414,ET6,3,414,1,3,35175,
        3483,ET6,3,483,3,3,35175,99
        3491,ET6,3,491,1,3,35175,0
        3514,ET6,3,514,2,3,35175,0
        3521,ET6,3,521,1,3,35175,0
        3564,ET6,3,564,2,3,35175,0
        3566,ET6,3,566,1,3,35175,0
        3593,ET6,3,593,2,3,35175,0
        3606,ET6,3,606,1,3,35175,0
        3642,ET6,3,642,2,3,35175,0
        3723,ET6,3,723,2,3,35175,0
        3751,ET6,3,751,1,3,35175,99
        3769,ET6,3,769,1,3,35175,
        3795,ET6,3,795,1,3,35175,0
        3809,ET6,3,809,1,3,35175,
        3860,ET6,3,860,2,3,35175,0
        3866,ET6,3,866,2,3,35175,0
        4 99,ET6,4,99,2,4,29228,0
        4119,ET6,4,119,1,4,29228,0
        4131,ET6,4,131,2,4,29228,99
        4133,ET6,4,133,2,4,29228,0
        4180,ET6,4,180,2,4,29228,0
        4224,ET6,4,224,1,4,29228,22
        4318,ET6,4,318,2,4,29228,
        4351,ET6,4,351,1,4,29228,0
        4364,ET6,4,364,1,4,29228,
        4373,ET6,4,373,1,4,29228,0
        4380,ET6,4,380,1,4,29228,0
        4409,ET6,4,409,1,4,29228,
        4496,ET6,4,496,1,4,29228,0
        4497,ET6,4,497,2,4,29228,0
        4530,ET6,4,530,2,4,29228,0
        4531,ET6,4,531,2,4,29228,0
        4532,ET6,4,532,2,4,29228,0
        4545,ET6,4,545,3,4,29228,0
        4613,ET6,4,613,1,4,29228,0
        4643,ET6,4,643,1,4,29228,99
        4718,ET6,4,718,3,4,29228,0
