FileCode,Name,Value,ValueDesc,ValueType
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,0,Doesn't smoke,ExplicitValue
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,80,80+,ExplicitValue
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,94,"Smokes pipes, cigars, etc",ExplicitValue
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,99,Missing,ExplicitValue
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,'  ',Not applicable,ExplicitValue
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,1,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,2,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,3,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,4,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,5,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,6,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,7,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,8,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,9,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,10,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,11,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,12,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,13,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,14,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,15,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,16,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,17,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,18,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,19,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,20,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,21,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,22,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,23,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,24,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,25,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,26,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,27,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,28,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,29,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,30,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,31,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,32,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,33,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,34,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,35,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,36,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,37,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,38,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,39,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,40,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,41,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,42,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,43,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,44,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,45,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,46,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,47,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,48,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,49,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,50,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,51,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,52,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,53,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,54,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,55,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,56,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,57,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,58,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,59,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,60,,ExpandedRange
ET_2011_DHS_07082021_1847_58107.ETHR61FL,HA35,61,,ExpandedRange
